Ticker,year,month,H_value,Price
SO,2022,7,0.14534404427328224,76.89
SO,2022,8,0.1523324778204754,77.07
SO,2022,9,0.14844577114218266,68.0
SO,2022,10,0.1957826210964505,65.48
SO,2022,11,0.25694537188091876,67.64
SO,2022,12,0.21373058478884457,71.41
SO,2023,1,0.26572797945492066,67.68
SO,2023,2,0.11983037082138848,63.06
SO,2023,3,0.09955364158488712,69.58
SO,2023,4,0.1580794226221418,73.55
SO,2023,5,0.13722776451009275,69.75
SO,2023,6,0.11342428452175993,70.25
SO,2023,7,0.1512496049531749,72.34
SO,2023,8,0.12959946574870876,67.73
SPG,2010,1,0.20863479822162082,72.0
SPG,2010,2,0.15359955811211573,78.29
SPG,2010,3,0.16507724783046757,83.9
SPG,2010,4,0.24759444372540115,89.02
SPG,2010,5,0.10626822455089713,85.03
SPG,2010,6,0.1104624775428725,80.75
SPG,2010,7,0.14918581577775605,89.22
SPG,2010,8,0.23675770605134455,90.45
SPG,2010,9,0.23925520817661944,92.74
SPG,2010,10,0.23170910461544397,96.02
SPG,2010,11,0.308557637661023,98.5
SPG,2010,12,0.13105933363101077,99.49
SPG,2011,1,0.19022439841043984,101.45
SPG,2011,2,0.14520583498814857,110.04
SPG,2011,3,0.11879597332692318,107.16
SPG,2011,4,0.13883923500910417,114.54
SPG,2011,5,0.17179959501875963,118.06
SPG,2011,6,0.19903105285978048,116.23
SPG,2011,7,0.10060506790206347,120.51
SPG,2011,8,0.10187103441100387,117.5
SPG,2011,9,0.02251130780716193,109.98
SPG,2011,10,0.07585121939851772,128.44
SPG,2011,11,0.08584218068641276,124.34
SPG,2011,12,0.03685839298216057,128.94
SPG,2012,1,0.13670596442075567,135.86
SPG,2012,2,0.17691254817476604,135.48
SPG,2012,3,0.11380608132952377,145.67999
SPG,2012,4,0.08792525367768281,155.60001
SPG,2012,5,0.10498499573989278,147.52
SPG,2012,6,0.018596181604598548,155.66
SPG,2012,7,0.08597468665744902,160.49001
SPG,2012,8,0.08784589955943649,158.7
SPG,2012,9,0.1275482263539883,151.81
SPG,2012,10,0.13742105231350357,152.21001
SPG,2012,11,0.14889556342112348,152.13
SPG,2012,12,0.11831012337722421,158.09
SPG,2013,1,0.24861405337252995,160.17999
SPG,2013,2,0.047327702450945426,158.86
SPG,2013,3,0.020520831146811587,158.56
SPG,2013,4,0.1306590157670045,178.07001
SPG,2013,5,0.07090471872161103,166.44
SPG,2013,6,0.11276269381705459,157.92
SPG,2013,7,0.15070754765931602,160.06
SPG,2013,8,0.2121526459409614,145.63
SPG,2013,9,0.1927326849382605,148.23
SPG,2013,10,0.09287150025520774,154.55
SPG,2013,11,-0.027011919765460368,149.85001
SPG,2013,12,-0.00040400363102202034,152.16
SPG,2014,1,0.16961880515436295,154.84
SPG,2014,2,0.15018105919588667,161.28999
SPG,2014,3,0.016797298966193915,164.0
SPG,2014,4,0.0888490921519264,173.2
SPG,2014,5,0.43668786437220214,175.94
SPG,2014,6,-0.002640783929041246,166.28
SPG,2014,7,0.02008691762903396,168.19
SPG,2014,8,-0.22841872873304656,170.03
SPG,2014,9,-0.11141911955055958,164.42
SPG,2014,10,-0.03613776835794017,179.21001
SPG,2014,11,0.25056885186013395,180.8
SPG,2014,12,-0.15770127980407234,182.11
SPG,2015,1,0.059799886468440165,198.66
SPG,2015,2,-0.00231321625391741,190.36
SPG,2015,3,0.029741932586977857,195.64
SPG,2015,4,0.05570706456295543,181.49001
SPG,2015,5,-0.06366271271088066,181.39999
SPG,2015,6,-0.02450159863303889,173.02
SPG,2015,7,-0.11839502494297247,187.22
SPG,2015,8,0.012134323373560777,179.32001
SPG,2015,9,0.022426414499011886,183.72
SPG,2015,10,0.06802604904445798,201.46001
SPG,2015,11,0.1205529019395164,186.24001
SPG,2015,12,0.10121455785760937,194.44
SPG,2016,1,-0.03268826755239941,186.28
SPG,2016,2,-0.05461616997218806,189.73
SPG,2016,3,-0.09230033560107223,207.69
SPG,2016,4,-0.006798124308835048,201.17
SPG,2016,5,0.06277575441296344,197.64
SPG,2016,6,0.04526527213311555,216.89999
SPG,2016,7,-0.13117295661447503,227.03999
