contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM171208C00137000,IBM,2017-12-08,137.00,call,0.00,10.60,8.80,11,12.40,5,0,0,2017-11-15,0.22699,0.90142,0.02072,-0.03552,0.06413,0.07688
IBM171208P00137000,IBM,2017-12-08,137.00,put,0.21,0.24,0.19,21,0.30,86,20,0,2017-11-15,0.19925,-0.07190,0.01863,-0.02158,0.05061,-0.00682
IBM171208C00138000,IBM,2017-12-08,138.00,call,0.00,9.45,7.40,11,11.50,22,0,0,2017-11-15,0.18538,0.92092,0.02153,-0.02594,0.05442,0.07941
IBM171208P00138000,IBM,2017-12-08,138.00,put,0.25,0.30,0.25,1,0.35,23,10,0,2017-11-15,0.19422,-0.08864,0.02239,-0.02461,0.05929,-0.00840
IBM171208C00139000,IBM,2017-12-08,139.00,call,0.00,8.75,7.05,27,10.45,30,0,0,2017-11-15,0.21251,0.86479,0.02770,-0.04084,0.08026,0.07465
IBM171208P00139000,IBM,2017-12-08,139.00,put,0.00,0.35,0.28,78,0.43,11,0,0,2017-11-15,0.18553,-0.10472,0.02649,-0.02653,0.06701,-0.00993
IBM171208C00140000,IBM,2017-12-08,140.00,call,0.00,7.03,5.90,97,8.15,74,0,0,2017-11-15,0.03228,1.00000,0.00000,-0.00445,0.00000,0.08815
IBM171208P00140000,IBM,2017-12-08,140.00,put,0.00,0.43,0.34,16,0.51,16,0,0,2017-11-15,0.17928,-0.12756,0.03154,-0.02944,0.07710,-0.01209
IBM171208C00141000,IBM,2017-12-08,141.00,call,6.50,6.75,6.55,1,6.95,10,1,0,2017-11-15,0.17501,0.84199,0.03734,-0.03763,0.08911,0.07379
IBM171208P00141000,IBM,2017-12-08,141.00,put,0.52,0.52,0.43,16,0.60,11,12,4,2017-11-15,0.17196,-0.15395,0.03736,-0.03201,0.08759,-0.01460
IBM171208C00142000,IBM,2017-12-08,142.00,call,0.00,6.10,4.90,101,7.30,7,0,0,2017-11-15,0.19010,0.78189,0.04197,-0.04842,0.10879,0.06863
IBM171208P00142000,IBM,2017-12-08,142.00,put,0.75,0.66,0.57,6,0.74,16,20,53,2017-11-15,0.16754,-0.19014,0.04388,-0.03560,0.10025,-0.01804
IBM171208C00143000,IBM,2017-12-08,143.00,call,0.00,5.07,4.80,215,5.35,198,0,0,2017-11-15,0.16571,0.76360,0.05039,-0.04442,0.11385,0.06759
IBM171208P00143000,IBM,2017-12-08,143.00,put,0.90,0.81,0.74,1,0.89,78,2,55,2017-11-15,0.16083,-0.23012,0.05114,-0.03811,0.11216,-0.02184
IBM171208C00144000,IBM,2017-12-08,144.00,call,2.65,4.30,4.15,24,4.45,5,0,3,2017-11-15,0.16190,0.71307,0.05697,-0.04746,0.12577,0.06339
IBM171208P00144000,IBM,2017-12-08,144.00,put,1.21,1.03,0.93,11,1.12,5,6,16,2017-11-15,0.15672,-0.28107,0.05828,-0.04108,0.12453,-0.02670
IBM171208C00145000,IBM,2017-12-08,145.00,call,0.00,3.58,3.40,58,3.75,36,0,0,2017-11-15,0.15809,0.65564,0.06307,-0.04968,0.13595,0.05852
IBM171208P00145000,IBM,2017-12-08,145.00,put,1.53,1.30,1.22,1,1.38,6,21,39,2017-11-15,0.15260,-0.33959,0.06499,-0.04324,0.13524,-0.03230
IBM171208C00146000,IBM,2017-12-08,146.00,call,2.63,2.95,2.85,6,3.05,41,2,0,2017-11-15,0.15657,0.59066,0.06722,-0.05151,0.14349,0.05289
IBM171208P00146000,IBM,2017-12-08,146.00,put,1.59,1.66,1.57,1,1.74,6,11,52,2017-11-15,0.15077,-0.40650,0.06968,-0.04500,0.14325,-0.03873
IBM171208C00147000,IBM,2017-12-08,147.00,call,2.30,2.35,2.26,7,2.44,5,5,0,2017-11-15,0.15245,0.52233,0.07076,-0.05111,0.14708,0.04694
IBM171208P00147000,IBM,2017-12-08,147.00,put,2.50,2.07,1.99,1,2.15,6,18,63,2017-11-15,0.14757,-0.47743,0.07309,-0.04489,0.14708,-0.04556
IBM171208C00148000,IBM,2017-12-08,148.00,call,1.62,1.95,1.79,6,2.10,8,11,21,2017-11-15,0.15733,0.45375,0.06821,-0.05210,0.14632,0.04083
IBM171208P00148000,IBM,2017-12-08,148.00,put,2.50,2.65,2.49,1,2.81,1,125,89,2017-11-15,0.15108,-0.54879,0.07098,-0.04537,0.14621,-0.05254
IBM171208C00149000,IBM,2017-12-08,149.00,call,1.54,1.53,1.38,1,1.68,7,3,34,2017-11-15,0.15626,0.38632,0.06631,-0.04975,0.14129,0.03485
IBM171208P00149000,IBM,2017-12-08,149.00,put,3.05,3.22,3.05,22,3.40,33,11,41,2017-11-15,0.14910,-0.61969,0.06918,-0.04258,0.14063,-0.05947
IBM171208C00150000,IBM,2017-12-08,150.00,call,1.06,1.25,1.07,6,1.44,1,9,608,2017-11-15,0.16083,0.32807,0.06083,-0.04814,0.13341,0.02962
IBM171208P00150000,IBM,2017-12-08,150.00,put,3.86,3.88,3.70,22,4.05,25,28,77,2017-11-15,0.14864,-0.68615,0.06462,-0.03899,0.13097,-0.06605
IBM171208C00152500,IBM,2017-12-08,152.50,call,0.55,0.74,0.54,6,0.93,1,98,217,2017-11-15,0.17090,0.21130,0.04584,-0.04064,0.10681,0.01912
IBM171208P00152500,IBM,2017-12-08,152.50,put,5.50,6.00,4.50,78,7.50,28,12,47,2017-11-15,0.16815,-0.79266,0.04607,-0.03471,0.10562,-0.07725
IBM171208C00155000,IBM,2017-12-08,155.00,call,0.21,0.33,0.26,6,0.39,10,37,112,2017-11-15,0.16647,0.11248,0.03108,-0.02605,0.07055,0.01022
IBM171208P00155000,IBM,2017-12-08,155.00,put,3.00,8.20,6.10,18,10.30,15,0,15,2017-11-15,0.17776,-0.87154,0.03196,-0.02560,0.07747,-0.08595
IBM171208C00157500,IBM,2017-12-08,157.50,call,0.17,0.14,0.09,19,0.19,10,4,185,2017-11-15,0.16602,0.05471,0.01807,-0.01501,0.04090,0.00498
IBM171208P00157500,IBM,2017-12-08,157.50,put,4.09,10.60,8.45,11,12.75,1,0,6,2017-11-15,0.20001,-0.90674,0.02258,-0.02219,0.06157,-0.09073
IBM171208C00160000,IBM,2017-12-08,160.00,call,0.11,0.08,0.03,76,0.13,45,0,28,2017-11-15,0.17684,0.03180,0.01093,-0.01028,0.02637,0.00290
IBM171208P00160000,IBM,2017-12-08,160.00,put,4.56,13.00,10.85,11,15.15,1,0,6,2017-11-15,0.21449,-0.93584,0.01585,-0.01682,0.04635,-0.09494
IBM171208C00162500,IBM,2017-12-08,162.50,call,0.07,0.01,0.00,0,0.09,38,0,3,2017-11-15,0.15398,0.00558,0.00280,-0.00200,0.00589,0.00051
IBM171208P00162500,IBM,2017-12-08,162.50,put,6.63,15.40,13.10,2,17.70,10,0,0,2017-11-15,0.21800,-0.96236,0.01019,-0.00936,0.03028,-0.09891
IBM171208C00165000,IBM,2017-12-08,165.00,call,0.03,0.01,0.00,0,0.07,42,0,0,2017-11-15,0.17486,0.00498,0.00223,-0.00204,0.00532,0.00045
IBM171208P00165000,IBM,2017-12-08,165.00,put,8.35,17.93,15.75,11,20.10,1,0,0,2017-11-15,0.25565,-0.95959,0.00921,-0.01278,0.03209,-0.10025
IBM171208C00167500,IBM,2017-12-08,167.50,call,0.08,0.01,0.00,0,0.05,27,0,1,2017-11-15,0.19513,0.00450,0.00183,-0.00208,0.00486,0.00041
IBM171208P00167500,IBM,2017-12-08,167.50,put,0.00,20.55,18.40,11,22.70,10,0,0,2017-11-15,0.31647,-0.94361,0.00971,-0.02376,0.04189,-0.10042
IBM171208C00170000,IBM,2017-12-08,170.00,call,0.00,0.01,0.00,0,0.29,14,0,0,2017-11-15,0.21480,0.00411,0.00153,-0.00211,0.00448,0.00037
IBM171208P00170000,IBM,2017-12-08,170.00,put,9.88,22.82,20.50,17,25.15,1,0,0,2017-11-15,0.25595,-0.98639,0.00368,-0.00182,0.01286,-0.10581
IBM171208C00172500,IBM,2017-12-08,172.50,call,0.00,0.01,0.00,0,0.27,5,0,0,2017-11-15,0.23416,0.00381,0.00131,-0.00215,0.00419,0.00035
IBM171208P00172500,IBM,2017-12-08,172.50,put,0.00,25.35,23.00,22,27.70,5,0,0,2017-11-15,0.29986,-0.98072,0.00424,-0.00591,0.01733,-0.10688
IBM171208C00175000,IBM,2017-12-08,175.00,call,0.00,0.01,0.00,0,0.22,15,0,0,2017-11-15,0.25306,0.00356,0.00114,-0.00219,0.00395,0.00032
IBM171208P00175000,IBM,2017-12-08,175.00,put,0.00,27.80,25.50,17,30.10,1,0,0,2017-11-15,0.28294,-0.99179,0.00215,0.00043,0.00828,-0.10945
IBM171208C00177500,IBM,2017-12-08,177.50,call,0.00,0.01,0.00,0,0.20,23,0,0,2017-11-15,0.27135,0.00333,0.00100,-0.00221,0.00371,0.00030
IBM171208P00177500,IBM,2017-12-08,177.50,put,0.00,30.30,28.00,22,32.60,1,0,0,2017-11-15,0.30534,-0.99187,0.00197,0.00015,0.00821,-0.11103
IBM171208C00180000,IBM,2017-12-08,180.00,call,0.00,0.01,0.00,0,0.07,7,0,0,2017-11-15,0.28949,0.00316,0.00090,-0.00224,0.00354,0.00029
IBM171208P00180000,IBM,2017-12-08,180.00,put,0.00,32.80,30.60,2,35.00,1,0,0,2017-11-15,0.32745,-0.99193,0.00183,-0.00013,0.00816,-0.11261
IBM171208C00182500,IBM,2017-12-08,182.50,call,0.00,0.01,0.00,0,0.19,18,0,0,2017-11-15,0.30702,0.00298,0.00080,-0.00226,0.00336,0.00027
IBM171208P00182500,IBM,2017-12-08,182.50,put,0.00,35.27,33.00,17,37.55,5,0,0,2017-11-15,0.27851,-0.99881,0.00038,0.00491,0.00146,-0.11481
IBM171208C00185000,IBM,2017-12-08,185.00,call,0.00,0.01,0.00,0,0.15,1,0,0,2017-11-15,0.32440,0.00284,0.00073,-0.00228,0.00322,0.00026
IBM171208P00185000,IBM,2017-12-08,185.00,put,0.00,37.80,35.50,22,40.10,1,0,0,2017-11-15,0.37059,-0.99202,0.00160,-0.00067,0.00807,-0.11577
IBM171208C00187500,IBM,2017-12-08,187.50,call,0.00,0.01,0.00,0,0.04,5,0,0,2017-11-15,0.34132,0.00271,0.00066,-0.00230,0.00308,0.00024
IBM171208P00187500,IBM,2017-12-08,187.50,put,0.00,40.30,38.00,22,42.60,1,0,0,2017-11-15,0.39177,-0.99204,0.00151,-0.00094,0.00806,-0.11735
IBM171208C00190000,IBM,2017-12-08,190.00,call,0.00,0.01,0.00,0,0.33,4,0,0,2017-11-15,0.35809,0.00260,0.00061,-0.00233,0.00297,0.00024
IBM171208P00190000,IBM,2017-12-08,190.00,put,0.00,42.80,40.50,17,45.10,5,0,0,2017-11-15,0.41266,-0.99206,0.00143,-0.00122,0.00804,-0.11893
IBM171208C00195000,IBM,2017-12-08,195.00,call,0.00,0.01,0.00,0,0.35,5,0,0,2017-11-15,0.39040,0.00240,0.00052,-0.00236,0.00276,0.00022
IBM171208P00195000,IBM,2017-12-08,195.00,put,0.00,47.85,45.50,15,50.20,1,0,0,2017-11-15,0.50000,-0.98527,0.00202,-0.00884,0.01377,-0.12148
IBM171208C00200000,IBM,2017-12-08,200.00,call,0.00,0.01,0.00,0,0.35,7,0,0,2017-11-15,0.42180,0.00225,0.00045,-0.00239,0.00260,0.00020
IBM171208P00200000,IBM,2017-12-08,200.00,put,0.00,52.83,50.50,16,55.15,1,0,0,2017-11-15,0.52455,-0.98814,0.00160,-0.00672,0.01142,-0.12488
