PERMNO,date,TICKER,PRC
17750,2017-12-29,KMB,120.66000
17750,2018-01-31,KMB,117.00000
17750,2018-02-28,KMB,110.92000
17750,2018-03-29,KMB,110.13000
17750,2018-04-30,KMB,103.54000
17750,2018-05-31,KMB,100.85000
17750,2018-06-29,KMB,105.34000
17750,2018-07-31,KMB,113.86000
17750,2018-08-31,KMB,115.54000
17750,2018-09-28,KMB,113.64000
17750,2018-10-31,KMB,104.30000
17750,2018-11-30,KMB,115.37000
17750,2018-12-31,KMB,113.94000
17750,2019-01-31,KMB,111.38000
17750,2019-02-28,KMB,116.83000
17750,2019-03-29,KMB,123.90000
17750,2019-04-30,KMB,128.38000
17750,2019-05-31,KMB,127.89000
17750,2019-06-28,KMB,133.28000
17750,2019-07-31,KMB,135.64999
17750,2019-08-30,KMB,141.11000
17750,2019-09-30,KMB,142.05000
17750,2019-10-31,KMB,132.88000
17750,2019-11-29,KMB,136.34000
17750,2019-12-31,KMB,137.55000
17750,2020-01-31,KMB,143.24001
17750,2020-02-28,KMB,131.19000
17750,2020-03-31,KMB,127.87000
17750,2020-04-30,KMB,138.48000
17750,2020-05-29,KMB,141.44000
17750,2020-06-30,KMB,141.35001
17750,2020-07-31,KMB,152.03999
17750,2020-08-31,KMB,157.75999
17750,2020-09-30,KMB,147.66000
17750,2020-10-30,KMB,132.59000
17750,2020-11-30,KMB,139.31000
17750,2020-12-31,KMB,134.83000
17750,2021-01-29,KMB,132.10001
17750,2021-02-26,KMB,128.33000
17750,2021-03-31,KMB,139.05000
17750,2021-04-30,KMB,133.32001
17750,2021-05-28,KMB,130.63000
17750,2021-06-30,KMB,133.78000
17750,2021-07-30,KMB,135.72000
17750,2021-08-31,KMB,137.81000
17750,2021-09-30,KMB,132.44000
17750,2021-10-29,KMB,129.49001
17750,2021-11-30,KMB,130.31000
17750,2021-12-31,KMB,142.92000
17750,2022-01-31,KMB,137.64999
17750,2022-02-28,KMB,130.14999
17750,2022-03-31,KMB,123.16000
17750,2022-04-29,KMB,138.83000
17750,2022-05-31,KMB,133.02000
17750,2022-06-30,KMB,135.14999
17750,2022-07-29,KMB,131.78999
